sample_id,ph,hardness,solids,sulfate,turbidity,potability_target
WTR-001,7.1,204.8,20791.3,333.7,3.9,1
WTR-002,3.2,250.0,35000.0,400.0,5.5,0
WTR-003,7.5,180.0,45000.0,300.0,4.2,0
WTR-004,6.5,210.0,29000.0,340.0,4.9,1
WTR-005,,190.5,15000.0,310.0,3.1,0
WTR-006,7.8,195.2,18500.5,320.1,4.0,1
WTR-007,8.1,220.4,24000.0,350.5,3.5,1
WTR-008,6.8,185.6,12000.0,305.2,2.8,1
WTR-009,7.4,215.1,19500.0,325.8,4.1,1
WTR-010,6.9,200.0,17000.0,330.0,3.7,1
WTR-011,14.0,260.0,39000.0,410.0,6.0,0
WTR-012,0.5,150.0,42000.0,280.0,5.8,0
WTR-013,8.5,230.0,29999.0,360.0,4.9,1
WTR-014,6.0,170.0,10000.0,290.0,2.0,1
WTR-015,9.5,245.0,32000.0,380.0,5.2,0
WTR-016,7.0,205.0,21000.0,335.0,3.8,1
WTR-017,7.2,198.0,22500.0,328.0,4.3,1
WTR-018,6.7,212.0,18800.0,342.0,3.6,1
WTR-019,7.6,188.0,25000.0,315.0,4.5,1
WTR-020,7.3,208.0,19900.0,338.0,3.9,1
